"id","surname","name","username","session_id","session_end","grp","level","password","preferences","last_upd","output","lang"
1,"anon","anon","anon",,,"default",5,"anon",,,"automatic","en"
2,"admin",1,"admin1",,,,1,"admin1",,,"automatic","en"
3,"admin",2,"admin2",,,,1,"admin2",,,"automatic","en"
4,"admin",3,"admin3",,,,1,"admin3",,,"automatic","en"
5,"oper",1,"oper1",,,"default",5,"oper1",,,"automatic","en"
6,"oper",2,"oper2",,,"default",5,"oper2",,,"automatic","en"
7,"oper",3,"oper3",,,"default",5,"oper3",,,"automatic","en"
8,"oper",4,"oper4",,,"default",5,"oper4",,,"automatic","en"
9,"oper",5,"oper5",,,"default",5,"oper5",,,"automatic","en"
10,"oper",6,"oper6",,,"default",5,"oper6",,,"automatic","en"
11,"oper",7,"oper7",,,"default",5,"oper7",,,"automatic","en"
12,"oper",8,"oper8",,,"default",5,"oper8",,,"automatic","en"
13,"oper",9,"oper9",,,"default",5,"oper9",,,"automatic","en"
14,"admin",4,"admin4",,,,1,"admin4",,,"automatic","en"
15,"admin",5,"admin5",,,,1,"admin5",,,"automatic","en"
16,"admin",6,"admin6",,,,1,"admin6",,,"automatic","en"
17,"rest",1,"rest1",,,,1,"rest1",,,"automatic","en"
18,"rest",2,"rest2",,,,1,"rest2",,,"automatic","en"
19,"rest",3,"rest3",,,,1,"rest3",,,"automatic","en"
